,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
15463,USED,2022,FORD,MAVERICK,XL,29515,Blue Metallic,–,Front-wheel Drive,Hybrid,474,"6614 S. Florida Avenue Lakeland, FL 33813",2023-06-08,http://cars.com///vehicledetail/1651c06a-715c-4e0d-8f83-a6548b398311/,cars.com
15464,USED,2022,FORD,MAVERICK,XLT,35499,Gray,Navy Pier,Front-wheel Drive,Hybrid,13963,"1875 W McEwen Dr Franklin, TN 37067",2023-06-08,http://cars.com///vehicledetail/339ccef3-10d5-4d7f-898f-c3c5e22a13a7/,cars.com
15465,USED,2022,FORD,MAVERICK,LARIAT,38977,Chili Pepper Red,Desert,All-wheel Drive,Gasoline,2138,"8 Uxbridge Rd Mendon, MA 01756",2023-06-08,http://cars.com///vehicledetail/b81a474c-6d4d-400b-a4f7-72299c4fddb0/,cars.com
15466,USED,2022,FORD,MAVERICK,LARIAT,42795,Area 51,Desert,All-wheel Drive,Gasoline,4903,"585 State Route 31 Bridgeport, NY 13030",2023-06-08,http://cars.com///vehicledetail/8308d64d-7756-442f-bb5f-86ce1457a842/,cars.com
15467,USED,2022,FORD,MAVERICK,XLT,36479,Velocity Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,6967,"11780 Tampa Gateway Blvd Seffner, FL 33584",2023-06-08,http://cars.com///vehicledetail/88df7b13-ca18-48be-a6b1-3dd64b189d48/,cars.com
15468,USED,2023,FORD,MAVERICK,XLT,39587,Atlas Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,84,"11780 Tampa Gateway Blvd Seffner, FL 33584",2023-06-08,http://cars.com///vehicledetail/b08ad192-74df-422b-a6f4-6cda1537034e/,cars.com
15469,USED,2023,FORD,MAVERICK,XL,32999,Gray,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,10748,"1183 S. Memorial Drive Prattville, AL 36067",2023-06-08,http://cars.com///vehicledetail/7404490a-a2d0-43b0-b45d-3a2ba0a86da6/,cars.com
15470,USED,2023,FORD,MAVERICK,XLT,39998,Black,Gray,Front-wheel Drive,Hybrid,2505,"2501 Powell Ave Nashville, TN 37204",2023-06-08,http://cars.com///vehicledetail/3782d836-958d-4cba-8c1a-e1623eb79000/,cars.com
15471,USED,2022,FORD,MAVERICK,XLT,35998,Gray Metallic,Navy Pier,All-wheel Drive,Gasoline,1839,"1671 Toll Gate Dr Maumee, OH 43537",2023-06-08,http://cars.com///vehicledetail/ee0dc8b7-20b9-42dd-8f12-f4c930dc721f/,cars.com
15472,USED,2022,FORD,MAVERICK,LARIAT,38977,Carbonized Gray,Desert Brown,All-wheel Drive,Gasoline,8252,"428 Maple St Marlboro, MA 01752",2023-06-08,http://cars.com///vehicledetail/5eeb4b0f-71d2-4ceb-a929-d5152939e15c/,cars.com
15473,USED,2022,FORD,MAVERICK,XL,34999,Green,–,All-wheel Drive,Gasoline,11001,"756 W Ervin Rd Van Wert, OH 45891",2023-06-08,http://cars.com///vehicledetail/617ee34a-b7cd-4d24-aeda-b6a8c6339a9a/,cars.com
15474,USED,2022,FORD,MAVERICK,XL,30998,Blue,Black,Front-wheel Drive,Gasoline,7846,"3500 W Tennessee St Tallahassee, FL 32304",2023-06-08,http://cars.com///vehicledetail/ecb04dd8-7d42-46aa-a861-2d76c868dea0/,cars.com
15475,CERTIFIED,2022,FORD,MAVERICK,XLT,31079,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Gasoline,18675,"28739 State Road 54 Wesley Chapel, FL 33543",2023-06-08,http://cars.com///vehicledetail/33244284-a08a-4757-8516-31b513f851cb/,cars.com
15476,USED,2022,FORD,MAVERICK,LARIAT,39900,Shadow Black,Desert,Front-wheel Drive,Hybrid,12103,"1551 East Semoran Blvd Apopka, FL 32703",2023-06-08,http://cars.com///vehicledetail/0ffc88b2-9cde-4067-b8c3-5873f680c19b/,cars.com
15477,USED,2022,FORD,MAVERICK,XLT,36999,Gray Metallic,Navy Pier,Front-wheel Drive,Gasoline,7629,"2795 N State Hwy 7 North Vernon, IN 47265",2023-06-08,http://cars.com///vehicledetail/9c461e9b-3760-469a-b592-6e5494f86491/,cars.com
15478,USED,2022,FORD,MAVERICK,XLT,39995,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,17738,"1405 S Main Street Medina, NY 14103",2023-06-08,http://cars.com///vehicledetail/660b35d4-76db-401b-9546-d4daef2b6433/,cars.com
15479,USED,2022,FORD,MAVERICK,LARIAT,39997,Cactus,Desert,All-wheel Drive,Gasoline,13866,"2630 Pelham Parkway Pelham, AL 35124",2023-06-08,http://cars.com///vehicledetail/238dce44-5f00-463f-a6b1-3dfaceac0084/,cars.com
15480,USED,2022,FORD,MAVERICK,LARIAT,43000,Blue,Desert,All-wheel Drive,Gasoline,4955,"22110 W.S.R. 51 Genoa, OH 43430",2023-06-08,http://cars.com///vehicledetail/3f2d9d96-958d-4991-8082-2a9966a08819/,cars.com
15481,USED,2022,FORD,MAVERICK,LARIAT,31495,Silver,Brown,All-wheel Drive,Gasoline,9365,"559 Mountain View Rd Williston, VT 05495",2023-06-08,http://cars.com///vehicledetail/92617ae8-8fa5-4e59-9a38-a4ece1ff945c/,cars.com
